DATE FORMAT	ORDER_NUMBER	SKU	PCS
01/01/2017	835220	290731	1.0
01/01/2017	835220	373272	1.0
01/01/2017	835214	362101	1.0
01/01/2017	835215	215515	1.0
01/01/2017	835215	287995	1.0
01/01/2017	835215	310751	1.0
01/01/2017	835215	331543	1.0
01/01/2017	835212	159789	1.0
01/01/2017	835209	309851	1.0
01/01/2017	835208	361225	1.0
01/01/2017	835208	362102	1.0
01/01/2017	835207	265342	1.0
01/01/2017	835207	362493	1.0
01/01/2017	835185	274212	1.0
01/01/2017	835185	290478	1.0
01/01/2017	835185	359958	1.0
01/01/2017	835185	366639	1.0
01/01/2017	835169	304612	1.0
01/01/2017	835169	332321	1.0
01/01/2017	835169	364331	1.0
01/01/2017	835165	285652	2.0
01/01/2017	835165	332321	1.0
01/01/2017	835165	364018	1.0
01/01/2017	835163	231647	1.0
01/01/2017	835163	237346	1.0
01/01/2017	835164	238490	1.0
01/01/2017	835164	373281	1.0
01/01/2017	835161	160166	1.0
01/01/2017	835161	372231	1.0
01/01/2017	835159	318487	1.0
01/01/2017	835159	340189	1.0
01/01/2017	835158	245655	1.0
01/01/2017	835158	366773	1.0
01/01/2017	835155	245655	7.0
01/01/2017	835155	366773	7.0
01/01/2017	835153	216130	1.0
01/01/2017	835151	314609	1.0
01/01/2017	835150	263928	1.0
01/01/2017	835149	219146	1.0
01/01/2017	835147	344976	1.0
01/01/2017	835145	369472	3.0
01/01/2017	835146	351546	1.0
01/01/2017	835142	230435	1.0
01/01/2017	835140	362933	1.0
01/01/2017	835138	364494	1.0
01/01/2017	835134	318212	1.0
01/01/2017	835131	286879	1.0
01/01/2017	835132	366535	1.0
01/01/2017	835128	369479	1.0
01/01/2017	835109	335344	1.0
01/01/2017	835110	369644	1.0
01/01/2017	835116	253464	1.0
01/01/2017	835103	58289	1.0
01/01/2017	835106	361906	1.0
01/01/2017	835093	361225	1.0
01/01/2017	835089	273211	2.0
01/01/2017	835088	201672	1.0
01/01/2017	835088	273997	1.0
01/01/2017	835088	278414	2.0
01/01/2017	835088	288127	1.0
01/01/2017	835088	305795	1.0
01/01/2017	835088	314688	1.0
01/01/2017	835088	319330	1.0
01/01/2017	835088	319336	2.0
01/01/2017	835088	341641	2.0
01/01/2017	835088	349662	1.0
01/01/2017	835088	353863	1.0
01/01/2017	835087	363337	1.0
01/01/2017	835087	369479	1.0
01/01/2017	835087	373286	1.0
01/01/2017	835087	373287	1.0
01/01/2017	835085	342850	2.0
01/01/2017	835085	349660	1.0
01/01/2017	835085	352590	1.0
01/01/2017	835085	373266	1.0
01/01/2017	835083	270134	1.0
01/01/2017	835083	276069	1.0
01/01/2017	835083	292186	1.0
01/01/2017	835083	292221	1.0
01/01/2017	835083	292883	1.0
01/01/2017	835083	318984	1.0
01/01/2017	835083	350489	1.0
01/01/2017	835083	373272	1.0
01/01/2017	835082	270636	1.0
01/01/2017	835082	315701	1.0
01/01/2017	835082	359100	1.0
01/01/2017	835082	373266	1.0
01/01/2017	835082	373267	1.0
01/01/2017	835080	188407	1.0
01/01/2017	835080	202390	1.0
01/01/2017	835080	261182	1.0
01/01/2017	835080	335462	1.0
01/01/2017	835080	369472	1.0
01/01/2017	835079	284872	1.0
01/01/2017	835079	310361	1.0
01/01/2017	835079	320419	1.0
01/01/2017	835079	332187	1.0
01/01/2017	835079	355348	1.0
01/01/2017	835077	253500	1.0
01/01/2017	835077	257037	1.0
01/01/2017	835077	290478	1.0
01/01/2017	835077	304359	1.0
01/01/2017	835077	359958	1.0
01/01/2017	835077	366639	1.0
01/01/2017	835077	373272	1.0
01/01/2017	835073	367525	1.0
01/01/2017	835074	362655	1.0
01/01/2017	835074	363055	1.0
01/01/2017	835075	369479	1.0
01/01/2017	835075	373286	1.0
01/01/2017	835075	373287	1.0
01/01/2017	835071	332917	1.0
01/01/2017	835071	353867	1.0
01/01/2017	835072	362655	1.0
01/01/2017	835072	363055	1.0
01/01/2017	835068	214213	1.0
01/01/2017	835068	238490	1.0
01/01/2017	835063	215647	1.0
01/01/2017	835067	274766	1.0
01/01/2017	835067	316589	1.0
01/01/2017	835067	373272	1.0
01/01/2017	835056	369472	1.0
01/01/2017	835055	326741	1.0
01/01/2017	835043	343319	1.0
01/01/2017	835043	347378	1.0
01/01/2017	835043	347395	1.0
01/01/2017	835040	139182	1.0
01/01/2017	835040	230435	1.0
01/01/2017	835040	238490	1.0
01/01/2017	835038	135749	1.0
01/01/2017	835038	315228	1.0
01/01/2017	835038	373297	1.0
01/01/2017	835037	265447	1.0
01/01/2017	835037	362655	1.0
01/01/2017	835037	363055	1.0
01/01/2017	835034	139847	1.0
01/01/2017	835034	139852	1.0
01/01/2017	835034	182782	2.0
01/01/2017	835034	327777	2.0
01/01/2017	835033	309244	1.0
01/01/2017	835033	330262	1.0
01/01/2017	835033	358301	1.0
01/01/2017	835033	359100	1.0
01/01/2017	835033	373266	1.0
01/01/2017	835032	237664	2.0
01/01/2017	835032	237667	2.0
01/01/2017	835032	237672	1.0
01/01/2017	835032	237673	2.0
01/01/2017	835032	237674	2.0
01/01/2017	835032	237675	1.0
01/01/2017	835031	325912	1.0
01/01/2017	835031	332321	1.0
01/01/2017	835031	369594	1.0
01/01/2017	835030	350636	1.0
01/01/2017	835030	359111	1.0
01/01/2017	835030	369455	1.0
01/01/2017	835028	292713	1.0
01/01/2017	835028	296827	1.0
01/01/2017	835028	332271	1.0
01/01/2017	835028	336266	1.0
01/01/2017	835028	366243	1.0
01/01/2017	835027	245655	1.0
01/01/2017	835027	326263	1.0
01/01/2017	835027	335338	1.0
01/01/2017	835027	366773	1.0
01/01/2017	835026	330262	1.0
01/01/2017	835026	338729	1.0
01/01/2017	835026	358301	1.0
01/01/2017	835026	359100	1.0
01/01/2017	835026	373266	1.0
01/01/2017	835023	242349	1.0
01/01/2017	835023	332010	1.0
01/01/2017	835025	309491	1.0
01/01/2017	835025	325913	1.0
01/01/2017	835025	332321	1.0
01/01/2017	835022	306731	1.0
01/01/2017	835022	311675	1.0
01/01/2017	835022	355811	2.0
